FatorF;Kd;Ud;grav_residual190km_ght;grav_residual100km;mag_asvi;mag_gt;probability;prediction;longitude;latitude
0.18552597;-1.0352421;0.04135244;0.000719321;-0.32674184;146.48924;0.033170227;8.8605055e-05;0;-52.26;-6.32
0.063944906;-0.48819855;-0.5944132;0.0001127556;-9.544541;168.02759;0.065936565;0.00045612286;0;-50.81;-6.17
0.023687018;-0.85611224;0.35299554;0.00050379144;2.0945907;77.43776;0.041434504;0.12076278;0;-49.89;-5.57
0.04387342;-0.10759634;-0.48945135;0.00061011134;-2.662415;222.79897;0.10837117;0.00017307895;0;-51.87;-6.13
0.019894872;-0.79521465;0.12417358;0.00047872798;-1.8342564;72.35019;0.025888508;0.0013754626;0;-50.23;-5.76
0.05343384;-0.99061334;0.3279713;0.0006493448;-2.2218149;133.71156;0.025201714;0.00018393867;0;-51.68;-6.32
0.06416621;-3.3235052;0.097708404;0.0009117363;-6.943976;98.58716;0.041195307;0.9485839;1;-51.12;-5.68
0.10990477;-0.75622016;0.12777057;0.0007344987;-8.78196;119.96979;0.051981077;0.023083849;0;-49.79;-5.89
0.021523213;-1.5237284;-0.0130179245;0.0010893593;-4.744629;49.989166;0.025258923;0.013929003;0;-51.36;-6.23
0.10926186;-0.885908;0.32092658;0.0005615237;1.6520393;208.86058;0.030487528;0.00023211159;0;-51.84;-5.86
0.2832353;0.6501451;0.036147382;0.0009327561;10.932598;267.06262;0.11139237;0.00326653;0;-51.05;-6.05
0.056681048;-2.8710063;-0.090575896;0.0003967616;-7.1795425;110.25038;0.03226992;0.66132945;1;-51.07;-5.71
0.06094873;-0.46412417;0.1146268;0.0018970516;-0.115334414;271.26193;0.032528177;0.00033362655;0;-52.27;-5.63
0.008274417;-5.398798;0.0088750515;0.0014022447;6.315466;806.033;0.43065232;0.0003930306;0;-51.2;-6.12
0.15283261;-0.19732894;0.46754757;0.00060559035;-4.8124757;97.23808;0.016345348;0.0004538199;0;-51.26;-5.89
0.333121;-0.64498353;0.4020152;0.0006694009;-3.1241148;132.1975;0.007836421;0.000624105;0;-52.25;-6.08
0.008150262;-8.177197;-1.6534147;0.00022615238;-4.054666;44.16384;0.012119963;0.0019049349;0;-49.93;-5.8
0.25037193;0.5868833;0.46943766;0.0002383894;9.702808;263.85062;0.04943297;0.002110231;0;-51.2;-6.06
0.035994187;-0.6553976;-0.6623555;0.00024556057;-4.6091633;57.783867;0.0101976665;0.0011955417;0;-51.29;-5.7
0.028471302;-1.6452917;-0.043094587;0.000393219;3.0102546;89.07104;0.015132471;0.0015752452;0;-51.21;-5.79
0.23355108;0.13300693;-0.08377414;0.00044766365;-0.14882669;235.2042;0.020453818;0.00022362414;0;-52.25;-5.97
0.043244593;-1.2311485;-0.13141277;0.0006678833;9.345258;131.39824;0.036621906;0.04955372;0;-51.69;-5.86
0.14223823;-0.059764747;-0.22461928;0.00044951585;-0.023676336;231.8289;0.018724192;0.00016376642;0;-52.26;-5.97
0.14637014;0.14458455;0.2700646;0.00089971005;-5.6968865;180.05426;0.035611328;0.74203694;1;-51.14;-6.24
0.025164362;-1.7288898;-0.22536856;0.0007182207;-3.1118317;156.23248;0.11240814;0.0004899106;0;-50.3;-5.8
0.05123901;-0.25475115;0.28831875;0.00048158926;2.519099;93.239494;0.036033243;0.0039633936;0;-49.97;-6.15
0.04714325;-0.44396722;0.28220338;0.000575497;0.21838617;128.39893;0.041772023;0.0020167842;0;-50.22;-5.82
0.036975205;-0.1470802;-0.026131157;0.0006360031;8.721322;84.66674;0.016059645;0.00029796813;0;-50.98;-6.0
0.05500081;-0.4560201;0.08934529;0.0006201298;-1.1150327;187.80443;0.013854131;6.600026e-05;0;-51.85;-5.75
0.23160407;0.13148388;0.34681183;0.0009794206;5.700046;162.21567;0.016480863;0.0006372529;0;-51.79;-5.86
0.08656086;0.44155398;0.34599003;0.00046825473;-1.8139957;42.184788;0.019914877;0.00017886826;0;-49.57;-5.81
0.080508046;0.47537732;-0.6460176;0.0015482433;-2.297104;69.17854;0.0088094985;0.005238091;0;-51.26;-6.19
0.0732009;-1.9652166;0.5364631;0.0013408079;2.2835135;194.37859;0.16458625;0.0021548173;0;-50.59;-5.76
0.026684549;-1.4474356;0.009867995;0.00058279873;0.7876256;64.142136;0.00644192;0.00064293516;0;-51.25;-5.84
0.062858075;-0.677708;0.23572329;0.00070576504;-1.6183403;40.53021;0.011579225;0.0006820494;0;-51.06;-5.6
0.037406158;-5.3174405;-0.054067727;0.00138989;2.7405136;138.27512;0.002023813;0.000409;0;-52.29;-6.06
