longitude;latitude;ocorrencia
-51.45;-5.84;1
-52.25;-6.08;1
-51.56;-5.9;1
-49.67;-5.94;1
-49.67;-5.93;1
-50.15;-6.3;1
-50.2;-5.88;1
-51.52;-5.93;1
-51.51;-5.9;1
-51.42;-5.91;1
-51.59;-5.81;1
-51.48;-5.9;1
-51.56;-5.91;1
-51.14;-5.66;1
-51.08;-5.66;1
-51.08;-5.68;1
-51.08;-5.69;1
-51.09;-5.69;1
-51.13;-5.67;1
-51.12;-5.67;1
-51.12;-5.68;1
-51.09;-5.73;1
